img,mask,video_src,video_clip,rep
/groups/dchen/mxs/processed_data/CNI/images/NE/00000.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00000.png,,NE,rep
/groups/dchen/mxs/processed_data/CNI/images/NE/00001.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00001.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00002.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00002.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00003.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00003.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00004.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00004.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00005.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00005.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00006.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00006.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00007.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00007.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00008.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00008.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00009.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00009.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00010.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00010.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00011.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00011.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00012.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00012.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00013.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00013.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00014.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00014.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00015.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00015.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00016.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00016.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00017.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00017.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00018.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00018.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00019.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00019.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00020.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00020.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00021.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00021.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00022.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00022.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00023.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00023.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00024.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00024.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00025.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00025.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00026.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00026.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00027.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00027.png,,NE,-
/groups/dchen/mxs/processed_data/CNI/images/NE/00028.jpg,/groups/dchen/bz/data/childrensHospital/masks/NE/all/00028.png,,NE,-
